Training 1,Training 2,Training 3,Training 4,Training 5,Average,Min ,Max
14,15,62,60,441,118.4,14,441
12,32,38,107,206,79,12,206
18,51,55,112,143,75.8,18,143
33,37,69,109,156,80.8,33,156
19,47,60,127,126,75.8,19,127
13,41,56,60,141,62.2,13,141
42,66,84,82,143,83.4,42,143
11,49,22,73,124,55.8,11,124
23,89,106,235,235,137.6,23,235
25,26,59,102,134,69.2,25,134
26,46,106,89,128,79,26,128
18,46,66,91,124,69,18,124
20,57,25,64,197,72.6,20,197
19,37,92,144,137,85.8,19,144
26,77,56,177,121,91.4,26,177
20,52,39,137,152,80,20,152
15,29,51,117,79,58.2,15,117
18,36,62,59,138,62.6,18,138
78,75,51,73,235,102.4,51,235
15,28,89,84,129,69,15,129
22,44,41,117,235,91.8,22,235
28,63,63,79,113,69.2,28,113
29,33,53,114,156,77,29,156
17,38,73,68,352,109.6,17,352
41,32,83,121,77,70.8,32,121
18,63,86,83,256,101.2,18,256
19,34,72,98,227,90,19,227
20,71,36,78,287,98.4,20,287
15,28,46,103,152,68.8,15,152
44,61,57,61,233,91.2,44,233
35,63,68,186,188,108,35,188
12,60,55,81,147,71,12,147
27,89,53,143,129,88.2,27,143
28,21,36,80,404,113.8,21,404
33,50,42,159,275,111.8,33,275
19,51,34,97,122,64.6,19,122
40,22,55,122,136,75,22,136
14,36,55,121,320,109.2,14,320
18,26,75,64,207,78,18,207
54,25,79,65,114,67.4,25,114
26,36,43,142,413,132,26,413
78,47,73,50,515,152.6,47,515
34,77,83,103,422,143.8,34,422
44,38,52,62,287,96.6,38,287
45,24,45,167,381,132.4,24,381
47,58,60,185,198,109.6,47,198
38,55,59,71,128,70.2,38,128
52,29,104,208,221,122.8,29,221
13,48,83,146,241,106.2,13,241
40,50,59,81,200,86,40,200
21,108,69,140,297,127,21,297
18,72,67,80,120,71.4,18,120
12,27,44,190,277,110,12,277
17,27,48,202,133,85.4,17,202
26,78,81,51,175,82.2,26,175
15,48,73,100,133,73.8,15,133
9,53,57,221,157,99.4,9,221
17,61,44,174,214,102,17,214
29,79,72,156,168,100.8,29,168
50,46,125,117,228,113.2,46,228
17,41,100,137,123,83.6,17,137
91,28,72,190,179,112,28,190
15,50,60,108,182,83,15,182
24,15,54,75,131,59.8,15,131
33,43,178,136,147,107.4,33,178
39,24,101,167,111,88.4,24,167
75,51,65,73,253,103.4,51,253
17,69,42,144,455,145.4,17,455
17,48,58,161,147,86.2,17,161
51,23,38,219,271,120.4,23,271
12,45,38,78,118,58.2,12,118
39,34,29,206,269,115.4,29,269
38,75,70,107,130,84,38,130
65,88,109,209,235,141.2,65,235
28,58,28,161,335,122,28,335
34,15,37,154,181,84.2,15,181
31,39,53,96,372,118.2,31,372
40,96,113,147,255,130.2,40,255
19,75,56,126,332,121.6,19,332
10,19,41,112,368,110,10,368
30,41,89,169,309,127.6,30,309
24,52,35,109,121,68.2,24,121
24,34,41,116,307,104.4,24,307
36,39,81,130,159,89,36,159
55,30,30,205,274,118.8,30,274
28,36,83,142,206,99,28,206
15,30,115,206,270,127.2,15,270
29,37,75,122,933,239.2,29,933
68,44,36,139,334,124.2,36,334
20,37,43,170,133,80.6,20,170
23,131,81,234,122,118.2,23,234
19,68,59,123,235,100.8,19,235
24,51,55,117,142,77.8,24,142
26,46,85,133,133,84.6,26,133
23,22,44,190,146,85,22,190
42,18,76,196,191,104.6,18,196
36,56,25,131,135,76.6,25,135
38,101,55,202,144,108,38,202
31,91,65,181,267,127,31,267
50,49,126,224,61,102,49,224
33,52,72,301,184,128.4,33,301
26,34,43,77,111,58.2,26,111
25,19,66,147,118,75,19,147
50,76,116,184,242,133.6,50,242
86,46,77,139,230,115.6,46,230
24,31,79,212,175,104.2,24,212
18,47,81,118,73,67.4,18,118
18,66,33,55,183,71,18,183
34,76,66,84,208,93.6,34,208
46,36,73,175,150,96,36,175
29,113,37,164,139,96.4,29,164
65,80,117,144,107,102.6,65,144
24,68,56,146,130,84.8,24,146
31,80,50,133,131,85,31,133
11,59,198,119,193,116,11,198
34,28,100,98,152,82.4,28,152
30,29,39,136,129,72.6,29,136
33,54,65,142,131,85,33,142
25,77,79,132,235,109.6,25,235
50,64,69,100,108,78.2,50,108
26,58,76,344,191,139,26,344
68,30,94,186,116,98.8,30,186
22,90,86,153,173,104.8,22,173
22,88,92,126,179,101.4,22,179
42,38,66,104,144,78.8,38,144
43,44,51,140,144,84.4,43,144
21,44,137,255,213,134,21,255
42,39,79,226,364,150,39,364
73,85,47,134,114,90.6,47,134
29,22,164,46,139,80,22,164
44,43,61,153,382,136.6,43,382
36,98,91,212,128,113,36,212
30,26,39,370,331,159.2,26,370
34,42,49,144,177,89.2,34,177
38,56,90,289,384,171.4,38,384
28,18,71,141,276,106.8,18,276
13,62,54,150,149,85.6,13,150
58,51,180,141,456,177.2,51,456
39,66,107,147,323,136.4,39,323
20,47,64,128,421,136,20,421
26,34,74,150,190,94.8,26,190
16,135,69,142,121,96.6,16,142
47,56,71,269,131,114.8,47,269
