Training 1,Training 2,Training 3,Training 4,Training 5,Average,Min ,Max
24,25,143,660,266,223.6,24,660
22,100,172,262,243,159.8,22,262
28,32,108,716,113,199.4,28,716
18,143,48,121,282,122.4,18,282
10,111,113,427,447,221.6,10,447
15,31,152,196,201,119,15,201
20,31,100,261,162,114.8,20,261
17,57,272,123,150,123.8,17,272
32,32,173,284,520,208.2,32,520
14,54,117,613,103,180.2,14,613
14,31,108,154,289,119.2,14,289
22,60,136,105,401,144.8,22,401
11,66,196,452,119,168.8,11,452
57,64,218,78,494,182.2,57,494
13,54,120,212,232,126.2,13,232
32,107,68,165,464,167.2,32,464
41,57,152,348,399,199.4,41,399
16,22,150,179,358,145,16,358
26,48,160,94,251,115.8,26,251
30,35,89,440,239,166.6,30,440
14,59,148,333,146,140,14,333
27,18,116,261,400,164.4,18,400
22,46,116,145,182,102.2,22,182
35,79,155,191,423,176.6,35,423
14,21,337,217,135,144.8,14,337
20,48,247,181,287,156.6,20,287
70,29,121,279,213,142.4,29,279
39,96,123,120,71,89.8,39,123
18,41,130,124,259,114.4,18,259
34,27,89,303,229,136.4,27,303
20,62,81,149,207,103.8,20,207
15,76,50,187,176,100.8,15,187
16,44,164,340,254,163.6,16,340
11,113,132,147,234,127.4,11,234
41,70,195,339,83,145.6,41,339
44,79,140,333,259,171,44,333
33,36,261,174,245,149.8,33,261
19,81,146,161,277,136.8,19,277
21,89,57,324,317,161.6,21,324
14,48,220,508,305,219,14,508
11,28,147,236,190,122.4,11,236
31,81,268,342,279,200.2,31,342
12,133,77,215,134,114.2,12,215
35,113,258,273,138,163.4,35,273
50,74,139,257,161,136.2,50,257
21,13,114,285,263,139.2,13,285
34,91,229,98,314,153.2,34,314
25,58,170,168,188,121.8,25,188
21,40,318,132,298,161.8,21,318
41,159,119,426,355,220,41,426
25,64,139,395,241,172.8,25,395
24,112,192,231,70,125.8,24,231
14,24,307,174,145,132.8,14,307
22,138,175,251,115,140.2,22,251
39,36,234,294,535,227.6,36,535
