Training 1,Training 2,Training 3,Training 4,Training 5,Average,Min,Max
19,72,12,14,11,25.6,11,72
11,11,42,12,12,17.6,11,42
11,30,11,94,40,37.2,11,94
12,19,19,27,12,17.8,12,27
21,11,30,14,39,23,11,39
16,14,12,12,19,14.6,12,19
12,13,35,17,14,18.2,12,35
13,13,18,23,15,16.4,13,23
35,24,14,29,52,30.8,14,52
24,21,22,29,29,25,21,29
24,17,38,28,16,24.6,16,38
15,42,22,19,12,22,12,42
21,17,23,17,20,19.6,17,23
17,18,13,20,33,20.2,13,33
17,21,22,13,40,22.6,13,40
11,9,28,27,15,18,9,28
39,48,29,11,14,28.2,11,48
14,13,25,38,46,27.2,13,46
16,40,14,23,10,20.6,10,40
16,11,17,18,30,18.4,11,30
17,25,30,17,11,20,11,30
16,22,16,12,10,15.2,10,22
19,21,26,142,10,43.6,10,142
15,18,42,43,14,26.4,14,43
13,12,10,12,16,12.6,10,16
12,15,42,30,13,22.4,12,42
13,23,23,22,13,18.8,13,23
31,34,14,18,19,23.2,14,34
27,15,19,25,14,20,14,27
13,22,18,23,22,19.6,13,23
10,15,38,31,28,24.4,10,38
14,80,35,13,17,31.8,13,80
16,42,60,11,22,30.2,11,60
11,18,23,21,60,26.6,11,60
31,20,35,25,14,25,14,35
11,36,30,14,17,21.6,11,36
23,19,12,30,11,19,11,30
16,17,23,21,29,21.2,16,29
31,14,21,18,18,20.4,14,31
15,30,44,16,18,24.6,15,44
22,9,28,34,12,21,9,34
16,21,38,27,39,28.2,16,39
14,18,17,31,21,20.2,14,31
16,20,14,12,24,17.2,12,24
14,22,12,12,20,16,12,22
15,35,44,22,12,25.6,12,44
11,23,33,31,13,22.2,11,33
20,14,12,12,27,17,12,27
15,12,18,17,11,14.6,11,18
16,14,10,13,14,13.4,10,16
13,19,29,12,18,18.2,12,29
37,11,16,39,11,22.8,11,39
23,42,33,22,44,32.8,22,44
14,35,24,20,67,32,14,67
36,60,42,26,59,44.6,26,60
51,10,16,15,24,23.2,10,51
16,12,12,50,15,21,12,50
13,17,53,11,47,28.2,11,53
11,13,15,22,24,17,11,24
32,14,26,34,24,26,14,34
38,36,19,30,38,32.2,19,38
20,23,12,21,21,19.4,12,23
17,21,35,25,19,23.4,17,35
12,10,25,33,13,18.6,10,33
35,27,12,21,21,23.2,12,35
21,21,10,22,29,20.6,10,29
19,51,22,26,25,28.6,19,51
15,9,36,21,47,25.6,9,47
17,29,55,19,22,28.4,17,55
28,13,10,12,25,17.6,10,28
41,13,20,25,12,22.2,12,41
25,20,14,16,22,19.4,14,25
11,20,17,16,21,17,11,21
25,35,22,112,15,41.8,15,112
67,12,48,26,31,36.8,12,67
16,14,39,40,20,25.8,14,40
17,20,70,25,18,30,17,70
21,9,15,12,16,14.6,9,21
31,25,15,11,37,23.8,11,37
25,23,26,19,15,21.6,15,26
10,21,18,20,81,30,10,81
11,40,47,24,17,27.8,11,47
32,10,26,29,49,29.2,10,49
16,29,11,17,26,19.8,11,29
56,87,30,24,37,46.8,24,87
11,31,39,16,42,27.8,11,42
16,37,11,17,18,19.8,11,37
16,34,22,29,36,27.4,16,36
18,21,23,13,33,21.6,13,33
21,23,13,40,30,25.4,13,40
16,10,23,15,13,15.4,10,23
28,18,9,27,84,33.2,9,84
12,46,57,15,32,32.4,12,57
12,21,13,22,34,20.4,12,34
12,21,20,16,50,23.8,12,50
16,76,26,50,17,37,16,76
23,22,17,13,14,17.8,13,23
21,15,21,11,15,16.6,11,21
19,38,15,48,11,26.2,11,48
25,18,30,18,21,22.4,18,30
31,13,23,28,26,24.2,13,31
38,31,24,25,21,27.8,21,38
52,15,16,29,27,27.8,15,52
17,37,16,20,22,22.4,16,37
71,39,17,13,49,37.8,13,71
11,17,112,23,13,35.2,11,112
42,11,16,10,32,22.2,10,42
25,27,54,18,16,28,16,54
20,31,42,21,107,44.2,20,107
16,12,11,13,11,12.6,11,16
17,85,20,17,29,33.6,17,85
27,20,39,62,37,37,20,62
26,26,56,32,16,31.2,16,56
15,13,22,26,20,19.2,13,26
22,28,21,18,51,28,18,51
18,26,39,18,13,22.8,13,39
15,18,10,15,16,14.8,10,18
21,19,26,13,23,20.4,13,26
13,49,17,9,9,19.4,9,49
18,11,21,12,16,15.6,11,21
17,22,18,17,15,17.8,15,22
17,13,36,21,23,22,13,36
37,37,27,36,24,32.2,24,37
15,10,38,26,16,21,10,38
18,13,16,32,11,18,11,32
18,12,13,17,20,16,12,20
17,35,31,17,12,22.4,12,35
22,83,20,77,15,43.4,15,83
22,19,64,16,73,38.8,16,73
22,19,16,61,21,27.8,16,61
9,49,12,21,23,22.8,9,49
12,58,14,18,14,23.2,12,58
15,65,22,21,16,27.8,15,65
18,44,34,16,20,26.4,16,44
32,14,42,44,23,31,14,44
21,11,26,19,14,18.2,11,26
12,22,17,36,13,20,12,36
28,9,56,16,22,26.2,9,56
30,17,20,16,23,21.2,16,30
19,16,38,17,24,22.8,16,38
27,30,12,23,19,22.2,12,30
43,31,19,21,12,25.2,12,43
32,16,38,20,30,27.2,16,38
18,69,14,27,13,28.2,13,69
35,14,10,24,13,19.2,10,35
29,16,23,20,17,21,16,29
23,17,13,20,10,16.6,10,23
11,20,17,17,54,23.8,11,54
9,19,17,35,18,19.6,9,35
18,57,14,29,22,28,14,57
22,10,26,17,9,16.8,9,26
32,42,13,12,31,26,12,42
36,38,22,26,10,26.4,10,38
27,25,17,51,12,26.4,12,51
12,13,54,16,12,21.4,12,54
15,18,40,21,29,24.6,15,40
12,18,20,12,22,16.8,12,22
21,15,87,29,71,44.6,15,87
15,24,21,22,14,19.2,14,24
19,15,12,90,48,36.8,12,90
34,32,26,28,18,27.6,18,34
31,19,14,12,17,18.6,12,31
27,25,12,77,28,33.8,12,77
35,75,122,20,12,52.8,12,122
30,17,32,11,50,28,11,50
25,12,43,18,46,28.8,12,46
23,34,16,14,13,20,13,34
17,14,29,26,15,20.2,14,29
25,17,30,25,14,22.2,14,30
53,11,15,25,27,26.2,11,53
13,19,19,9,15,15,9,19
27,14,22,23,13,19.8,13,27
16,29,11,11,13,16,11,29
37,14,22,27,11,22.2,11,37
40,20,51,17,13,28.2,13,51
12,17,11,13,53,21.2,11,53
24,9,40,44,10,25.4,9,44
11,19,14,21,24,17.8,11,24
9,19,42,19,20,21.8,9,42
44,16,24,36,32,30.4,16,44
15,12,33,18,12,18,12,33
14,16,23,19,19,18.2,14,23
22,51,40,15,29,31.4,15,51
11,12,18,11,25,15.4,11,25
16,17,32,43,26,26.8,16,43
16,16,35,23,17,21.4,16,35
26,15,14,31,23,21.8,14,31
30,59,30,18,13,30,13,59
14,24,85,17,18,31.6,14,85
31,72,34,11,18,33.2,11,72
27,26,14,95,19,36.2,14,95
34,10,11,16,23,18.8,10,34
20,91,32,47,24,42.8,20,91
12,18,32,54,27,28.6,12,54
17,92,20,19,11,31.8,11,92
20,31,42,17,12,24.4,12,42
26,17,29,48,13,26.6,13,48
20,24,18,36,25,24.6,18,36
41,16,15,16,15,20.6,15,41
